.bash_profile and .bashrc,Access Token Manipulation,Accessibility Features,Account Discovery,Account Manipulation,AppCert DLLs,AppInitDLLs,AppleScript,Application Deployment Software,Application Shimming,Application Window Discovery,Audio Capture,Authentication Package,Automated Collection,Automated Exfiltration,BITS Jobs,Bash History,Binary Padding,Bootkit,Browser Bookmark Discovery,Browser Extensions,Brute Force,Bypass User Account Control,CMSTP,Change Default File Association,Clear Command History,Clipboard Data,Code Signing,Command-Line Interface,Commonly Used Port,Communication Through Removable Media,Component Firmware,Component Object Model Hijacking,Connection Proxy,Control Panel Items,Create Account,Credential Dumping,Credentials in Files,Credentials in Registry,Custom Command and Control Protocol,Custom Cryptographic Protocol,DCShadow,DLL Search Order Hijacking,DLL Side-Loading,Data Compressed,Data Encoding,Data Encrypted,Data Obfuscation,Data Staged,Data Transfer Size Limits,Data from Information Repositories,Data from Local System,Data from Network Shared Drive,Data from Removable Media,Deobfuscate/Decode Files or Information,Disabling Security Tools,Distributed Component Object Model,Domain Fronting,Drive-by Compromise,Dylib Hijacking,Dynamic Data Exchange,Email Collection,Execution through API,Execution through Module Load,Exfiltration Over Alternative Protocol,Exfiltration Over Command and Control Channel,Exfiltration Over Other Network Medium,Exfiltration Over Physical Medium,Exploit Public-Facing Application,Exploitation for Client Execution,Exploitation for Credential Access,Exploitation for Defense Evasion,Exploitation for Privelege Escalation,Exploitation of Remote Services,External Remote Services,Extra Window Memory Injection,Fallback Channels,File Deletion,File System Logical Offsets,File System Permissions Weakness,File and Directory Discovery,Forced Authentication,Gatekeeper Bypass,Graphical User Interface,HISTCONTROL,Hardware Additions,Hidden Files and Directories,Hidden Users,Hidden Window,Hooking,Hypervisor,Image File Execution Options Injection,Indicator Blocking,Indicator Removal from Tools,Indicator Removal on Host,Indirect Command Execution,Input Capture,Input Prompt,Install Root Certificate,InstallUtil,Kerberoasting,Kernel Modules and Extensions,Keychain,LC_LOAD_DYLIB Addition,LC_MAIN Hijacking,LLMNR/NBT-NS Poisoning,LSASS Driver,Launch Agent,Launch Daemon,Launchctl,Local Job Scheduling,Login Item,Logon Scripts,Man in the Browser,Masquerading,Modify Existing Service,Modify Registry,Mshta,Multi-Stage Channels,Multi-hop Proxy,Multiband Communication,Multilayer Encryption,NTFS File Attributes,Netsh Helper DLL,Network Service Scanning,Network Share Connection Removal,Network Share Discovery,Network Sniffing,New Service,Obfuscated Files or Information,Office Application Startup,Pass the Hash,Pass the Ticket,Password Filter DLL,Password Policy Discovery,Path Interception,Peripheral Device Discovery,Permission Groups Discovery,Plist Modification,Port Knocking,Port Monitors,PowerShell,Private Keys,Process Discovery,Process Doppelganging,Process Hollowing,Process Injection,Query Registry,Rc.common,Re-opened Applications,Redundant Access,Registry Run Keys/Start Folder,Regsvcs/Regasm,Regsvr32,Remote Access Tools,Remote Desktop Protocol,Remote File Copy,Remote Services,Remote System Discovery,Replication through Removable Media,Rootkit,Rundll32,SID-History Injection,SIP and Trust Provider Hijacking,SSH Hijacking,Scheduled Task,Scheduled Transfer,Screen Capture,Screensaver,Scripting,Security Software Discovery,Security Support Provider,Securityd Memory,Service Execution,Service Registry Permissions Weakness,Setuid and Setgid,Shared Webroot,Shortcut Modification,Signed Binary Proxy Execution,Signed Script Proxy Execution,Software Packing,Source,Space after Filename,Spearphishing Attachment,Spearphishing Link,Spearphishing via Service,Standard Application Later Protocol,Standard Cryptographic Protocol,Standard Non-Application Layer Protocol,Startup Items,Sudo,Sudo Caching,Supply Chain Compromise,System Firmware,System Information Discovery,System Network Configuration Discovery,System Network Connections Discovery,System Owner/User Discovery,System Service Discovery,System Time Discovery,Taint Shared Content,Third-party Software,Time Providers,Timestomp,Trap,Trusted Developer Utilities,Trusted Relationship,Two-Factor Authentication Interception,Uncommonly Used Port,User Execution,Valid Accounts,Video Capture,Web Service,Web Shell,Windows Admin Shares,Windows Management Instrumentation,Windows Management Instrumentation Event Subscription,Windows Remote Management,Winlogon Helper DLL
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,1,1,0,0,?,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,?,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,1,1,?,0,0,0,0,0,0,0,0,0,0,?,?,0,0,0,0,0,0,?,1,0,?,?,?,0,1,0,?,0,0
0,1,0,0,0,0,?,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,?,0,0,0,0,0,1,0,0,0,0,0,0,?,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,?,0,0,1,1,0,0,0,0,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,?,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
?,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,1,0,1,0,0,1,0,0,0,0,0,?,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,1,?,?,0,?,?,?,?,?,0,1,?,?,?,0,?,?,1,?,?,?,?,?,?,0,?,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,1,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,?,1,?,1,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,1,?,?,?,?,?,?
?,?,1,?,?,1,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0